Jurisdiction,Year,Week,AllDeath,NaturalDeath
Alabama,Y2014,1,355,327
Alabama,Y2014,2,872,792
Alabama,Y2014,3,1044,971
Alabama,Y2014,4,1022,967
Alabama,Y2014,5,1040,953
Alabama,Y2014,6,992,910
Alabama,Y2014,7,942,885
Alabama,Y2014,8,990,933
Alabama,Y2014,9,958,875
Alabama,Y2014,10,988,903
Alabama,Y2014,11,974,910
Alabama,Y2014,12,934,866
Alabama,Y2014,13,926,875
Alabama,Y2014,14,949,874
Alabama,Y2014,15,924,862
Alabama,Y2014,16,986,922
Alabama,Y2014,17,914,848
Alabama,Y2014,18,933,855
Alabama,Y2014,19,916,856
Alabama,Y2014,20,925,858
Alabama,Y2014,21,892,838
Alabama,Y2014,22,932,871
Alabama,Y2014,23,922,827
Alabama,Y2014,24,838,771
Alabama,Y2014,25,774,712
Alabama,Y2014,26,727,663
Alabama,Y2014,27,671,617
Alabama,Y2014,28,683,616
Alabama,Y2014,29,751,683
Alabama,Y2014,30,847,778
Alabama,Y2014,31,848,791
Alabama,Y2014,32,891,832
Alabama,Y2014,33,829,763
Alabama,Y2014,34,741,665
Alabama,Y2014,35,588,530
Alabama,Y2014,36,700,624
Alabama,Y2014,37,729,677
Alabama,Y2014,38,764,702
Alabama,Y2014,39,933,851
Alabama,Y2014,40,866,804
Alabama,Y2014,41,917,838
Alabama,Y2014,42,924,870
Alabama,Y2014,43,890,828
Alabama,Y2014,44,918,854
Alabama,Y2014,45,817,749
Alabama,Y2014,46,805,740
Alabama,Y2014,47,933,870
Alabama,Y2014,48,986,903
Alabama,Y2014,49,995,942
Alabama,Y2014,50,1036,975
Alabama,Y2014,51,1117,1036
Alabama,Y2014,52,1068,1001
Alabama,Y2014,53,1103,1035
Alabama,Y2015,1,1139,1069
Alabama,Y2015,2,1140,1066
Alabama,Y2015,3,1043,965
Alabama,Y2015,4,1076,999
Alabama,Y2015,5,1110,1042
Alabama,Y2015,6,1070,998
Alabama,Y2015,7,1066,1001
Alabama,Y2015,8,1102,1042
Alabama,Y2015,9,1206,1120
Alabama,Y2015,10,1103,1014
Alabama,Y2015,11,1003,923
Alabama,Y2015,12,983,914
Alabama,Y2015,13,955,875
Alabama,Y2015,14,975,910
Alabama,Y2015,15,902,831
Alabama,Y2015,16,996,919
Alabama,Y2015,17,977,910
Alabama,Y2015,18,900,826
Alabama,Y2015,19,893,826
Alabama,Y2015,20,862,801
Alabama,Y2015,21,816,732
Alabama,Y2015,22,749,677
Alabama,Y2015,23,881,802
Alabama,Y2015,24,902,821
Alabama,Y2015,25,932,847
Alabama,Y2015,26,905,826
Alabama,Y2015,27,926,847
Alabama,Y2015,28,920,855
Alabama,Y2015,29,919,839
Alabama,Y2015,30,904,821
Alabama,Y2015,31,910,818
Alabama,Y2015,32,958,872
Alabama,Y2015,33,866,806
Alabama,Y2015,34,918,847
Alabama,Y2015,35,928,847
Alabama,Y2015,36,957,875
Alabama,Y2015,37,907,828
Alabama,Y2015,38,933,854
Alabama,Y2015,39,878,827
Alabama,Y2015,40,918,844
Alabama,Y2015,41,789,722
Alabama,Y2015,42,794,734
Alabama,Y2015,43,909,838
Alabama,Y2015,44,866,801
Alabama,Y2015,45,928,858
Alabama,Y2015,46,995,928
Alabama,Y2015,47,974,903
Alabama,Y2015,48,914,851
Alabama,Y2015,49,899,826
Alabama,Y2015,50,768,707
Alabama,Y2015,51,778,706
Alabama,Y2015,52,912,847
Alabama,Y2016,1,1008,938
Alabama,Y2016,2,1044,956
Alabama,Y2016,3,1029,953
Alabama,Y2016,4,1020,944
Alabama,Y2016,5,1103,1043
Alabama,Y2016,6,1098,1011
Alabama,Y2016,7,1114,1037
Alabama,Y2016,8,962,878
Alabama,Y2016,9,1006,929
Alabama,Y2016,10,1035,961
Alabama,Y2016,11,1009,919
Alabama,Y2016,12,1001,917
Alabama,Y2016,13,959,896
Alabama,Y2016,14,1006,932
Alabama,Y2016,15,942,888
Alabama,Y2016,16,1011,934
Alabama,Y2016,17,966,873
Alabama,Y2016,18,963,888
Alabama,Y2016,19,945,869
Alabama,Y2016,20,918,844
Alabama,Y2016,21,941,853
Alabama,Y2016,22,954,862
Alabama,Y2016,23,967,866
Alabama,Y2016,24,877,803
Alabama,Y2016,25,979,887
Alabama,Y2016,26,903,814
Alabama,Y2016,27,903,811
Alabama,Y2016,28,965,895
Alabama,Y2016,29,927,849
Alabama,Y2016,30,927,862
Alabama,Y2016,31,918,841
Alabama,Y2016,32,921,847
Alabama,Y2016,33,979,877
Alabama,Y2016,34,942,856
Alabama,Y2016,35,918,846
Alabama,Y2016,36,912,842
Alabama,Y2016,37,947,868
Alabama,Y2016,38,986,906
Alabama,Y2016,39,939,849
Alabama,Y2016,40,958,866
Alabama,Y2016,41,973,900
Alabama,Y2016,42,907,829
Alabama,Y2016,43,964,891
Alabama,Y2016,44,952,873
Alabama,Y2016,45,1029,958
Alabama,Y2016,46,1004,932
Alabama,Y2016,47,1029,957
Alabama,Y2016,48,1033,949
Alabama,Y2016,49,1057,966
Alabama,Y2016,50,1049,972
Alabama,Y2016,51,1134,1048
Alabama,Y2016,52,1104,1027
Alabama,Y2017,1,1121,1049
Alabama,Y2017,2,1130,1046
Alabama,Y2017,3,1048,968
Alabama,Y2017,4,1026,943
Alabama,Y2017,5,1036,934
Alabama,Y2017,6,1058,985
Alabama,Y2017,7,1060,974
Alabama,Y2017,8,1099,1013
Alabama,Y2017,9,1081,1004
Alabama,Y2017,10,1011,920
Alabama,Y2017,11,1067,993
Alabama,Y2017,12,1068,977
Alabama,Y2017,13,991,903
Alabama,Y2017,14,1037,963
Alabama,Y2017,15,1017,941
Alabama,Y2017,16,966,894
Alabama,Y2017,17,996,918
Alabama,Y2017,18,907,839
Alabama,Y2017,19,1064,982
Alabama,Y2017,20,998,906
Alabama,Y2017,21,988,889
Alabama,Y2017,22,925,851
Alabama,Y2017,23,984,889
Alabama,Y2017,24,918,832
Alabama,Y2017,25,961,873
Alabama,Y2017,26,925,839
Alabama,Y2017,27,954,859
Alabama,Y2017,28,968,888
Alabama,Y2017,29,964,875
Alabama,Y2017,30,888,805
Alabama,Y2017,31,949,879
Alabama,Y2017,32,936,854
Alabama,Y2017,33,933,864
Alabama,Y2017,34,917,838
Alabama,Y2017,35,953,874
Alabama,Y2017,36,960,898
Alabama,Y2017,37,968,889
Alabama,Y2017,38,995,904
Alabama,Y2017,39,1019,927
Alabama,Y2017,40,948,872
Alabama,Y2017,41,986,917
Alabama,Y2017,42,966,889
Alabama,Y2017,43,941,877
Alabama,Y2017,44,994,906
Alabama,Y2017,45,994,907
Alabama,Y2017,46,982,894
Alabama,Y2017,47,1004,931
Alabama,Y2017,48,1067,977
Alabama,Y2017,49,1074,988
Alabama,Y2017,50,1120,1047
Alabama,Y2017,51,1098,1012
Alabama,Y2017,52,1080,1001
Alabama,Y2018,1,1248,1159
Alabama,Y2018,2,1301,1215
Alabama,Y2018,3,1275,1190
