LL List Numbers,LL List Words,Short Long List Numbers,Short Long Words,SS List Numbers,SS List Words,12-Bit List Numbers,12-Bit List Word,11-Bit List Number,11-Bit List Word,Reinhold Index Number,Reinhold Index Word
11111,abacus,1111,aardvark,1111,acid,#000,Bab,0,Bab,11111,a
11112,abdomen,1112,abandoned,1112,acorn,#001,Bac,1,Bac,11112,a&p
11113,abdominal,1113,abbreviate,1113,acre,#002,Bad,2,Bad,11113,a's
11114,abide,1114,abdomen,1114,acts,#003,Baf,3,Baf,11114,aa
11115,abiding,1115,abhorrence,1115,afar,#004,Bag,4,Bag,11115,aaa
11116,ability,1116,abiding,1116,affix,#005,Bah,5,Bah,11116,aaaa
11121,ablaze,1121,abnormal,1121,aged,#006,Baj,6,Baj,11121,aaron
11122,able,1122,abrasion,1122,agent,#007,Bak,7,Bak,11122,ab
11123,abnormal,1123,absorbing,1123,agile,#008,Bal,8,Bal,11123,aba
11124,abrasion,1124,abundant,1124,aging,#009,Bam,9,Bam,11124,ababa
11125,abrasive,1125,abyss,1125,agony,#00A,Ban,10,Ban,11125,aback
11126,abreast,1126,academy,1126,ahead,#00B,Bap,11,Bap,11126,abase
11131,abridge,1131,accountant,1131,aide,#00C,Baq,12,Baq,11131,abash
11132,abroad,1132,acetone,1132,aids,#00D,Bar,13,Bar,11132,abate
11133,abruptly,1133,achiness,1133,aim,#00E,Bas,14,Bas,11133,abbas
11134,absence,1134,acid,1134,ajar,#00F,Bat,15,Bat,11134,abbe
11135,absentee,1135,acoustics,1135,alarm,#010,Bav,16,Bav,11135,abbey
11136,absently,1136,acquire,1136,alias,#011,Baw,17,Baw,11136,abbot
11141,absinthe,1141,acrobat,1141,alibi,#012,Bax,18,Bax,11141,abbott
11142,absolute,1142,actress,1142,alien,#013,Bay,19,Bay,11142,abc
11143,absolve,1143,acuteness,1143,alike,#014,Beb,20,Beb,11143,abe
11144,abstain,1144,aerosol,1144,alive,#015,Bec,21,Bec,11144,abed
11145,abstract,1145,aesthetic,1145,aloe,#016,Bed,22,Bed,11145,abel
11146,absurd,1146,affidavit,1146,aloft,#017,Bef,23,Bef,11146,abet
11151,accent,1151,afloat,1151,aloha,#018,Beg,24,Beg,11151,abide
11152,acclaim,1152,afraid,1152,alone,#019,Beh,25,Beh,11152,abject
11153,acclimate,1153,aftershave,1153,amend,#01A,Bej,26,Bej,11153,ablaze
11154,accompany,1154,again,1154,amino,#01B,Bek,27,Bek,11154,able
11155,account,1155,agency,1155,ample,#01C,Bel,28,Bel,11155,abner
11156,accuracy,1156,aggressor,1156,amuse,#01D,Bem,29,Bem,11156,abo
11161,accurate,1161,aghast,1161,angel,#01E,Ben,30,Ben,11161,abode
11162,accustom,1162,agitate,1162,anger,#01F,Bep,31,Bep,11162,abort
11163,acetone,1163,agnostic,1163,angle,#020,Beq,32,Beq,11163,about
11164,achiness,1164,agonizing,1164,ankle,#021,Ber,33,Ber,11164,above
11165,aching,1165,agreeing,1165,apple,#022,Bes,34,Bes,11165,abrade
11166,acid,1166,aidless,1166,april,#023,Bet,35,Bet,11166,abram
11211,acorn,1211,aimlessly,1211,apron,#024,Bev,36,Bev,11211,absorb
11212,acquaint,1212,ajar,1212,aqua,#025,Bew,37,Bew,11212,abuse
11213,acquire,1213,alarmclock,1213,area,#026,Bex,38,Bex,11213,abut
11214,acre,1214,albatross,1214,arena,#027,Bey,39,Bey,11214,abyss
11215,acrobat,1215,alchemy,1215,argue,#028,Bib,40,Bib,11215,ac
11216,acronym,1216,alfalfa,1216,arise,#029,Bic,41,Bic,11216,acadia
11221,acting,1221,algae,1221,armed,#02A,Bid,42,Bid,11221,accra
11222,action,1222,aliens,1222,armor,#02B,Bif,43,Bif,11222,accrue
11223,activate,1223,alkaline,1223,army,#02C,Big,44,Big,11223,ace
11224,activator,1224,almanac,1224,aroma,#02D,Bih,45,Bih,11224,acetic
11225,active,1225,alongside,1225,array,#02E,Bij,46,Bij,11225,ache
11226,activism,1226,alphabet,1226,arson,#02F,Bik,47,Bik,11226,acid
11231,activist,1231,already,1231,art,#030,Bil,48,Bil,11231,acidic
11232,activity,1232,also,1232,ashen,#031,Bim,49,Bim,11232,acm
11233,actress,1233,altitude,1233,ashes,#032,Bin,50,Bin,11233,acme
11234,acts,1234,aluminum,1234,atlas,#033,Bip,51,Bip,11234,acorn
11235,acutely,1235,always,1235,atom,#034,Biq,52,Biq,11235,acre
11236,acuteness,1236,amazingly,1236,attic,#035,Bir,53,Bir,11236,acrid
11241,aeration,1241,ambulance,1241,audio,#036,Bis,54,Bis,11241,act
11242,aerobics,1242,amendment,1242,avert,#037,Bit,55,Bit,11242,acton
11243,aerosol,1243,amiable,1243,avoid,#038,Biv,56,Biv,11243,actor
11244,aerospace,1244,ammunition,1244,awake,#039,Biw,57,Biw,11244,acts
11245,afar,1245,amnesty,1245,award,#03A,Bix,58,Bix,11245,acuity
11246,affair,1246,amoeba,1246,awoke,#03B,Biy,59,Biy,11246,acute
11251,affected,1251,amplifier,1251,axis,#03C,Bob,60,Bob,11251,ad
11252,affecting,1252,amuser,1252,bacon,#03D,Boc,61,Boc,11252,ada
11253,affection,1253,anagram,1253,badge,#03E,Bod,62,Bod,11253,adage
11254,affidavit,1254,anchor,1254,bagel,#03F,Bof,63,Bof,11254,adagio
11255,affiliate,1255,android,1255,baggy,#040,Bog,64,Bog,11255,adair
11256,affirm,1256,anesthesia,1256,baked,#041,Boh,65,Boh,11256,adam
11261,affix,1261,angelfish,1261,baker,#042,Boj,66,Boj,11261,adams
11262,afflicted,1262,animal,1262,balmy,#043,Bok,67,Bok,11262,adapt
11263,affluent,1263,anklet,1263,banjo,#044,Bol,68,Bol,11263,add
11264,afford,1264,announcer,1264,barge,#045,Bom,69,Bom,11264,added
11265,affront,1265,anonymous,1265,barn,#046,Bon,70,Bon,11265,addict
11266,aflame,1266,answer,1266,bash,#047,Bop,71,Bop,11266,addis
11311,afloat,1311,antelope,1311,basil,#048,Boq,72,Boq,11311,addle
11312,aflutter,1312,anxiety,1312,bask,#049,Bor,73,Bor,11312,adele
11313,afoot,1313,anyplace,1313,batch,#04A,Bos,74,Bos,11313,aden
11314,afraid,1314,aorta,1314,bath,#04B,Bot,75,Bot,11314,adept
11315,afterglow,1315,apartment,1315,baton,#04C,Bov,76,Bov,11315,adieu
11316,afterlife,1316,apnea,1316,bats,#04D,Bow,77,Bow,11316,adjust
11321,aftermath,1321,apostrophe,1321,blade,#04E,Box,78,Box,11321,adler
11322,aftermost,1322,apple,1322,blank,#04F,Boy,79,Boy,11322,admit
11323,afternoon,1323,apricot,1323,blast,#050,Bub,80,Bub,11323,admix
11324,aged,1324,aquamarine,1324,blaze,#051,Buc,81,Buc,11324,ado
11325,ageless,1325,arachnid,1325,bleak,#052,Bud,82,Bud,11325,adobe
11326,agency,1326,arbitrate,1326,blend,#053,Buf,83,Buf,11326,adonis
11331,agenda,1331,ardently,1331,bless,#054,Bug,84,Bug,11331,adopt
11332,agent,1332,arena,1332,blimp,#055,Buh,85,Buh,11332,adore
11333,aggregate,1333,argument,1333,blink,#056,Buj,86,Buj,11333,adorn
11334,aghast,1334,aristocrat,1334,bloat,#057,Buk,87,Buk,11334,adult
11335,agile,1335,armchair,1335,blob,#058,Bul,88,Bul,11335,advent
11336,agility,1336,aromatic,1336,blog,#059,Bum,89,Bum,11336,advert
11341,aging,1341,arrowhead,1341,blot,#05A,Bun,90,Bun,11341,advise
11342,agnostic,1342,arsonist,1342,blunt,#05B,Bup,91,Bup,11342,ae
11343,agonize,1343,artichoke,1343,blurt,#05C,Buq,92,Buq,11343,aegis
11344,agonizing,1344,asbestos,1344,blush,#05D,Bur,93,Bur,11344,aeneid
11345,agony,1345,ascend,1345,boast,#05E,Bus,94,Bus,11345,af
11346,agreeable,1346,aseptic,1346,boat,#05F,But,95,But,11346,afar
11351,agreeably,1351,ashamed,1351,body,#060,Buv,96,Buv,11351,affair
11352,agreed,1352,asinine,1352,boil,#061,Buw,97,Buw,11352,affine
11353,agreeing,1353,asleep,1353,bok,#062,Bux,98,Bux,11353,affix
11354,agreement,1354,asocial,1354,bolt,#063,Buy,99,Buy,11354,afire
11355,aground,1355,asparagus,1355,boned,#064,Cab,100,Cab,11355,afoot
11356,ahead,1356,astronaut,1356,boney,#065,Cac,101,Cac,11356,afraid
11361,ahoy,1361,asymmetric,1361,bonus,#066,Cad,102,Cad,11361,africa
11362,aide,1362,atlas,1362,bony,#067,Caf,103,Caf,11362,afro
11363,aids,1363,atmosphere,1363,book,#068,Cag,104,Cag,11363,aft
11364,aim,1364,atom,1364,booth,#069,Cah,105,Cah,11364,ag
11365,ajar,1365,atrocious,1365,boots,#06A,Caj,106,Caj,11365,again
11366,alabaster,1366,attic,1366,boss,#06B,Cak,107,Cak,11366,agate
11411,alarm,1411,atypical,1411,botch,#06C,Cal,108,Cal,11411,agave
11412,albatross,1412,auctioneer,1412,both,#06D,Cam,109,Cam,11412,age
11413,album,1413,auditorium,1413,boxer,#06E,Can,110,Can,11413,agee
11414,alfalfa,1414,augmented,1414,breed,#06F,Cap,111,Cap,11414,agenda
11415,algebra,1415,auspicious,1415,bribe,#070,Caq,112,Caq,11415,agent
11416,algorithm,1416,automobile,1416,brick,#071,Car,113,Car,11416,agile
11421,alias,1421,auxiliary,1421,bride,#072,Cas,114,Cas,11421,aging
11422,alibi,1422,avalanche,1422,brim,#073,Cat,115,Cat,11422,agnes
11423,alienable,1423,avenue,1423,bring,#074,Cav,116,Cav,11423,agnew
11424,alienate,1424,aviator,1424,brink,#075,Caw,117,Caw,11424,ago
11425,aliens,1425,avocado,1425,brisk,#076,Cax,118,Cax,11425,agone
11426,alike,1426,awareness,1426,broad,#077,Cay,119,Cay,11426,agony
11431,alive,1431,awhile,1431,broil,#078,Ceb,120,Ceb,11431,agree
11432,alkaline,1432,awkward,1432,broke,#079,Cec,121,Cec,11432,ague
11433,alkalize,1433,awning,1433,brook,#07A,Ced,122,Ced,11433,agway
11434,almanac,1434,awoke,1434,broom,#07B,Cef,123,Cef,11434,ah
11435,almighty,1435,axially,1435,brush,#07C,Ceg,124,Ceg,11435,ahead
11436,almost,1436,azalea,1436,buck,#07D,Ceh,125,Ceh,11436,ahem
11441,aloe,1441,babbling,1441,bud,#07E,Cej,126,Cej,11441,ahoy
11442,aloft,1442,backpack,1442,buggy,#07F,Cek,127,Cek,11442,ai
11443,aloha,1443,badass,1443,bulge,#080,Cel,128,Cel,11443,aid
11444,alone,1444,bagpipe,1444,bulk,#081,Cem,129,Cem,11444,aida
11445,alongside,1445,bakery,1445,bully,#082,Cen,130,Cen,11445,aide
11446,aloof,1446,balancing,1446,bunch,#083,Cep,131,Cep,11446,aides
11451,alphabet,1451,bamboo,1451,bunny,#084,Ceq,132,Ceq,11451,aiken
11452,alright,1452,banana,1452,bunt,#085,Cer,133,Cer,11452,ail
11453,although,1453,barracuda,1453,bush,#086,Ces,134,Ces,11453,aile
11454,altitude,1454,basket,1454,bust,#087,Cet,135,Cet,11454,aim
11455,alto,1455,bathrobe,1455,busy,#088,Cev,136,Cev,11455,ain't
11456,aluminum,1456,bazooka,1456,buzz,#089,Cew,137,Cew,11456,ainu
11461,alumni,1461,blade,1461,cable,#08A,Cex,138,Cex,11461,air
11462,always,1462,blender,1462,cache,#08B,Cey,139,Cey,11462,aires
11463,amaretto,1463,blimp,1463,cadet,#08C,Cib,140,Cib,11463,airman
11464,amaze,1464,blouse,1464,cage,#08D,Cic,141,Cic,11464,airway
11465,amazingly,1465,blurred,1465,cake,#08E,Cid,142,Cid,11465,airy
11466,amber,1466,boatyard,1466,calm,#08F,Cif,143,Cif,11466,aisle
11511,ambiance,1511,bobcat,1511,cameo,#090,Cig,144,Cig,11511,aj
11512,ambiguity,1512,body,1512,canal,#091,Cih,145,Cih,11512,ajar
11513,ambiguous,1513,bogusness,1513,candy,#092,Cij,146,Cij,11513,ajax
11514,ambition,1514,bohemian,1514,cane,#093,Cik,147,Cik,11514,ak
11515,ambitious,1515,boiler,1515,canon,#094,Cil,148,Cil,11515,akers
11516,ambulance,1516,bonnet,1516,cape,#095,Cim,149,Cim,11516,akin
11521,ambush,1521,boots,1521,card,#096,Cin,150,Cin,11521,akron
11522,amendable,1522,borough,1522,cargo,#097,Cip,151,Cip,11522,al
11523,amendment,1523,bossiness,1523,carol,#098,Ciq,152,Ciq,11523,ala
11524,amends,1524,bottle,1524,carry,#099,Cir,153,Cir,11524,alai
11525,amenity,1525,bouquet,1525,carve,#09A,Cis,154,Cis,11525,alamo
11526,amiable,1526,boxlike,1526,case,#09B,Cit,155,Cit,11526,alan
11531,amicably,1531,breath,1531,cash,#09C,Civ,156,Civ,11531,alarm
11532,amid,1532,briefcase,1532,cause,#09D,Ciw,157,Ciw,11532,alaska
11533,amigo,1533,broom,1533,cedar,#09E,Cix,158,Cix,11533,alb
11534,amino,1534,brushes,1534,chain,#09F,Ciy,159,Ciy,11534,alba
11535,amiss,1535,bubblegum,1535,chair,#0A0,Cob,160,Cob,11535,album
11536,ammonia,1536,buckle,1536,chant,#0A1,Coc,161,Coc,11536,alcoa
11541,ammonium,1541,buddhist,1541,chaos,#0A2,Cod,162,Cod,11541,alden
11542,amnesty,1542,buffalo,1542,charm,#0A3,Cof,163,Cof,11542,alder
11543,amniotic,1543,bullfrog,1543,chase,#0A4,Cog,164,Cog,11543,ale
11544,among,1544,bunny,1544,cheek,#0A5,Coh,165,Coh,11544,alec
11545,amount,1545,busboy,1545,cheer,#0A6,Coj,166,Coj,11545,aleck
11546,amperage,1546,buzzard,1546,chef,#0A7,Cok,167,Cok,11546,aleph
11551,ample,1551,cabin,1551,chess,#0A8,Col,168,Col,11551,alert
11552,amplifier,1552,cactus,1552,chest,#0A9,Com,169,Com,11552,alex
11553,amplify,1553,cadillac,1553,chew,#0AA,Con,170,Con,11553,alexei
11554,amply,1554,cafeteria,1554,chief,#0AB,Cop,171,Cop,11554,alga
11555,amuck,1555,cage,1555,chili,#0AC,Coq,172,Coq,11555,algae
11556,amulet,1556,cahoots,1556,chill,#0AD,Cor,173,Cor,11556,algal
11561,amusable,1561,cajoling,1561,chip,#0AE,Cos,174,Cos,11561,alger
11562,amused,1562,cakewalk,1562,chomp,#0AF,Cot,175,Cot,11562,algol
11563,amusement,1563,calculator,1563,chop,#0B0,Cov,176,Cov,11563,ali
11564,amuser,1564,camera,1564,chow,#0B1,Cow,177,Cow,11564,alia
11565,amusing,1565,canister,1565,chuck,#0B2,Cox,178,Cox,11565,alias
11566,anaconda,1566,capsule,1566,chump,#0B3,Coy,179,Coy,11566,alibi
11611,anaerobic,1611,carrot,1611,chunk,#0B4,Cub,180,Cub,11611,alice
11612,anagram,1612,cashew,1612,churn,#0B5,Cuc,181,Cuc,11612,alien
11613,anatomist,1613,cathedral,1613,chute,#0B6,Cud,182,Cud,11613,alight
